creature_id	id	name	type	target	typical_duration_s	dispellable	effects	notes
ashen_patrician_vampire	mystic_impedance	Mystic Impedance (1708)	debuff	opponent	30		blocks_high_level_spells	Warding, CS 389.
ashen_patrician_vampire	sympathy	Sympathy (1120)	debuff	opponent	19		charmed;cannot_attack_caster	No warding roll seen.
athletic_dark_eyed_incubus	earthen_fury	Earthen Fury (917)	debuff	opponent	12		repeated_crit_cycles;knockdown	No warding roll seen.
behemothic_gorefrost_golem	cold_snap	Cold Snap (512)	debuff	opponent	9		cold_damage_cycles;rooted	Warding, CS 444-450.
bloody_halfling_cannibal	frenzy	Frenzy	buff	self				Two onset lines seen (bloodlust rises; succumbs further). Mechanical effect not measured.
blubbery_humpbacked_merrow	cold_snap	Cold Snap (512)	debuff	opponent	25		cold_damage_cycles;rooted	Warding, CS 498.
branded_goliath_diviner	mystic_impedance	Mystic Impedance (1708)	debuff	opponent	30		blocks_spells_at_or_above=15	Follows the finger-flick spell_prep line; no warding roll (autosuccess). Golden runes onset. Blocks PREPARE of spells at or above the threshold; lower spells still work. Threshold is an upper bound: 515 observed blocked, exact floor unconfirmed.
branded_goliath_diviner	doom_sign	Doom Sign	debuff	opponent				MDR maneuver. On success a Debuffs bar named Doom Sign appears with a 2-4s countdown, and a death was seen at its expiry. Mechanism at expiry not confirmed.
burly_goliath_engineer	interference	Interference (212)	debuff	opponent	30		as_ds_td_penalty	Tell: snaps fingers, then draws a large sign in the air. Autosuccess. Wiki gives 30s on players. Penalty size not measured.
burly_goliath_engineer	bombing_run	Bombing Run	debuff	opponent	100		burning_dot=Immolation (519) Debuffs bar	Tell: two fingers on the white stone amulet, airship payload. SMR. On a hit the flames keep burning each cycle; Immolation bar shows 1:40.
cadaverous_tatterdemalion_ghast	expose_weakness	Expose Weakness	debuff	opponent	20		vulnerable	Maneuver, not a spell. Follows the pin-and-jump-up line with "You are struck by an acute sense of vulnerability." 20s countdown. Penalty not measured.
darkly_inked_fetish_master	sounds	Sounds (607)	debuff	opponent	22		spell_failure_chance	No warding roll seen.
darkly_inked_fetish_master	silence	Silence (210)	debuff	opponent	21		silenced	Warding, CS 440-458.
darkly_inked_fetish_master	sleep	Sleep (501)	debuff	opponent	19		asleep	Warding, CS 429.
deathsworn_fanatic	corrupt_essence	Corrupt Essence (703)	debuff	opponent	17		spell_failure_chance	Warding, CS 431.
disfigured_hive_thrall	powersink	Powersink (1203)	debuff	opponent	62		mana_drain	No warding roll seen.
disfigured_hive_thrall	web	Web (118)	debuff	opponent	11		rooted;webbed	No warding roll seen.
ethereal_triton_psionicist	confusion	Confusion (1211)	debuff	opponent	15		confused	Warding, CS 433-448.
ethereal_triton_psionicist	vertigo	Vertigo (1219)	debuff	opponent	101		dizziness	Warding, CS 448-457.
ethereal_triton_psionicist	mindwipe	Mindwipe (1225)	debuff	opponent			level_loss	Warding (wiki: CS 448, "[You lose 6 levels!]"). Tell is the clawed-finger point shared with Confusion and Thought Lash. The bar renders before any onset text. Duration not measured.
