edges	shape_id	sample	shape
1	d02cc5ab46436307	17493->3235	;e move S; wait_until { checkpaths.include?(S) }
1	44064796df64ef56	36416->36412	;e move S; wait_while{checkstunned}
3	c2b8b58876fae98f	989->988	;e move S; waitrt?; fill_hands
2	caa834698a0fa345	7873->1213	;e move S; waitrt?; fput S unless standing?; waitrt?
1	50bcb7b2876112ed	9651->6135	;e move S; waitrt?; wait_while { stunned? }; fput S unless standing?; waitrt?
1	b4b5521662f50569	27614->3166	;e move S;$go2_restart = true
1	051fce0a26580a56	24507->4709	;e move S;$go2_restart = true;
6	b2c501f12582f86f	7151->23708	;e move S;$go2_restart=true
4	ab4b882a85a6dfd3	13532->14659	;e move S;$go2_restart=true;$SILVERWOOD_TOWN=nil
1	306aa37f643b510c	30500->13960	;e move S;fill_hand;
1	306a6b7f643af1e4	24159->24160	;e move S;fill_hands
2	e4540971c016a0df	20348->23146	;e move S;fput S until standing?
4	a628cc4853c817cc	11630->22218	;e move S;move S
2	a5fc086dc73e86da	11653->11622	;e move S;move S;move S;move S
1	98dabf4e28ec0db8	5922->10476	;e move S;while Room.current.id == N;line = get?;if line.nil?;sleep N;elsif line == S;move S;break;end;end;
2	3b2270e9c455f695	16122->11630	;e move [..][rand(N)] while checkpaths == [..]
2	637bea193e1d7c61	16122->11612	;e move [..][rand(N)] while checkpaths == [..]; move S if checkpaths.include?(S); move S if checkpaths.include?(S)
2	a5e1abfe4fcd2809	14614->9377	;e move checkpaths[rand(checkpaths.length)] until checkpaths.include?(S)
2	9c3f0e2448ad0d4f	28122->28124	;e move(S); fput S
1	f7221ec29107408c	7927->34489	;e move(S);$go2_restart = true
1	97f45bade6f04681	28802->25509	;e move(S);UserVars.mapdb_marksofthebeast_origin = N;
9	e3c717e1e4045800	417->23281	;e move(S);UserVars.mapdb_talondown_origin = N;
1	29490aaf0a0a8820	109->110	;e multifput S, S, S, S, S waitrt? fput S
2	95a13f74f90122e9	23830->221	;e multifput S,S,S;waitfor S,S,S;
2	91528c5494a9a8cd	29865->2487	;e multifput S,S,S;waitfor S,S,S;UserVars.mapdb_hinterwilds_location = nil;
1	fc17be6061637b06	36166->36167	;e multifput(S, S); waitrt?; fput(S); waitrt?
1	68047031d6927123	16193->16192	;e multifput(S,S);move S
1	ccbc3ef407ec62d9	16196->22225	;e multifput(S,S,S)
1	5faa50afb50d48c4	3600->3600	;e need_set_roomname_off = false if last_roomdesc = $_SERVERBUFFER_.reverse.find { |line| line =~ R || line =~ R } if last_roomdesc =~ R fput S need_set_roomname_off = true end end save_want_downstream = Script.current.want_downstream save_want_downstream_xml = Script.current.want_downstream_xml Script.current.want_downstream = false Script.current.want_downstream_xml = true destination = Map[$mapdb_seeking_destination] roomname_pattern = R failed_to_find_destination = false first_roomname = nil seeking_destination = nil N.times do waitcastrt? put S matchtimeout(N, S) result = matchtimeout(N, roomname_pattern) next unless result seeking_destination = result.match(roomname_pattern)&.captures&.first next unless seeking_destination if seeking_destination[..] == S need_set_roomname_off = true fput S next end # Remove trailing numeric room ID in parentheses, if any if seeking_destination =~ R seeking_destination.slice!($N) end if first_roomname == seeking_destination failed_to_find_destination = true break end first_roomname ||= seeking_destination break if destination.title.include?(seeking_destination) end Script.current.want_downstream_xml = save_want_downstream_xml Script.current.want_downstream = save_want_downstream fput S if need_set_roomname_off if failed_to_find_destination echo S $restart_go2 = false Script.current.kill end if $mapdb_seeking_destination == N UserVars.mapdb_redforest_location = S if Map.current.id == N UserVars.mapdb_redforest_location = S if Map.current.id == N end dothistimeout(S, N, R)
5	c6dcfd7081edef93	9784->9734	;e next_exit = { N => [..], N => [..], N => [..], N => [..], N => [..] }; loop { if move S; sleep(N) until XMLData.room_title == S; fput S unless standing?; waitrt?; break; else; if dir_list = next_exit[Room.current.id]; dir_list.each { |dir| move dir }; else; echo S; break; end; end }
1	92692a841b8b5858	18893->13441	;e number = { S => S, S => S, S => S, S => S, S => S }; result = dothistimeout S, N, R; lever_hash = Hash.new; lever_hash[..] = number[result.slice(R).slice(R)]; lever_hash[..] = number[result.slice(R).slice(R)]; lever_hash[..] = number[result.slice(R).slice(R)]; lever_hash[..] = number[result.slice(R).slice(R)]; lever_hash[..] = number[result.slice(R).slice(R)]; for lever,position in lever_hash; loop { result = dothistimeout S + lever + S, N, R; break if result =~ R }; end; move S; move S; move S
1	6af2c6c38e5851c5	21120->21121	;e pause N;fput S;waitrt;fput S
1	be49f96e014ae72b	6016->18748	;e phase = Spell[..]; unless phase.affordable?; echo S; wait_until { phase.affordable? }; end; phase.cast(S)
1	6facea2c60151075	21302->21303	;e put S
1	10099b7713a861b6	20124->22619	;e put S; put S
3	fceb5c5270f870ca	20376->20377	;e put S;put S
1	f1ab58cadebf20fc	22349->22444	;e put S;while line=get;if line=~ R;put S;elsif line=~R;put S;break;end;end
1	350c88e914d5bed2	339->24768	;e query = S;shop = GameObj.loot.find { |i| i.name.eql?(query) };shop or fail S;fput S
2	ccfc9ed2241defd5	3239->3264	;e r = dothistimeout S, N, R; if r =~ R; move S; elsif r =~ R; spell = Spell[..]; bonus = spell.known? ? Society.rank/N : N; if ((N-(XMLData.encumbrance_value/N)) * Skills.to_bonus(Skills.climbing)) >= N; if spell.known? && !spell.active? && !Spell[..].active?; echo S unless stamina(spell.stamina_cost); wait_until{stamina(spell.stamina_cost)}; spell.cast; end; move S; elsif Spell[..].known?; unless Spell[..].affordable?; echo S; wait_until { Spell[..].affordable? }; end; Spell[..].cast(S); elsif (num = [..].find { |n| Spell[n].known? }); N.times { unless Spell[num].affordable?; echo S; wait_until { Spell[num].affordable? }; end; r = Spell[num].cast(S, R); redo if r =~ R }; move S; else; echo S; sleep N; exit; end; else; $go2_restart = true; end
2	cb32165d3d0959b9	34434->34435	;e refill_hand = false;key_worn = false; (refill_hand = true;empty_hand) if !checkleft.nil? and !checkright.nil?; key_worn = true if GameObj.inv.find {|obj| obj.name =~ R}; fput S if key_worn; fput S if !key_worn; door = S; multifput S,S,S,S,S; fput S if key_worn; fput S if !key_worn; fill_hand if refill_hand;
1	15a9cd40cc35bc5d	18178->18179	;e refill_hands = false; done = false; stairs_look = dothistimeout S,N,R if stairs_look =~ R done = true; end; runes = {S=>S, S=>S, S=>S, S=>S, S=>S}; result = stairs = under = rune = nil; look = true; refill_hands = false; while done == false; (refill_hands = true;empty_hands;) if GameObj.right_hand.id and GameObj.left_hand.id; if look == true; result = dothistimeout S, N, R; if result =~ R; rune = $N; under = $N; look = false; else; under = S; end; end; result = dothistimeout S#{under}S, N, R; if result =~ R; stairs = $N; rune = $N; under = $N; elsif result =~ R; under = S; look = false; elsif result =~ R; look = true; end; done = true if stairs =~ R; if under.nil? and done == false; echo S; pause_script; end; end; fill_hands if refill_hands; move(S);
2	6e406b5128ea0f38	25148->221	;e res = choice = nil;res = dothistimeout S, N, R;if res =~ R;choice = $N;end;dothistimeout S, N, R;put S;wait_until { XMLData.room_title =~ R };sleep N;wait_until{ XMLData.room_title !~ R };if GameObj.npcs.any? { |npc| npc.name =~ R };N.times do;_respond S;end;exit;end;$go2_restart=true
