rooms_that_depend_on_it	which_side_is_a_guess	group	area	from_id	from_room	from_floor_now	command	way_back	to_id	to_room	to_floor_now	jev_says	jev_estimate	subagent_1	subagent_1_conf	subagent_2	subagent_2_conf	YOUR_ANSWER
175	to side	33934	the Czeroth Caverns	9579	[Czeroth Caverns, Tunnel]	0	climb rocks	climb rocks	9580	[Czeroth Caverns, Tunnel]	1	down	0.73	down	60	up	62	
41	from side	5822	the Zaerthu Tunnels	5822	[Zaerthu Tunnels, Wide Tunnel]	0	go crevasse	go crevasse	5823	[Zul Logoth, Ruby Tunnel]	0	down	0.88	same floor	62	same floor	68	
31	both sides (neither is anchored)	2657	Koar's Shrine	2647	[Altar of the Elder]	-4	climb steps	";e clear
put 'look'
loop {
line = get
if line =~ /a flight of (ascending|descending) steps (curving along|leading straight through) the (northern|eastern|southern|western) wall, a flight of (ascending|descending) steps (curving along|leading straight through) the (northern|eastern|southern|western) wall, a flight of (ascending|descending) steps (curving along|leading straight through) the (northern|eastern|southern|western) wall and a flight of (ascending|descending) steps (curving along|leading straight through) the (northern|eastern|southern|western) wall\./
if $3 == 'northern'
move 'climb steps'
elsif $6 == 'northern'
move 'climb second steps'
elsif $9 == 'northern'
move 'climb third steps'
elsif $12 == 'northern'
move 'climb fourth steps'
else
echo ""error: unique_map_movements can't find the right steps""
exit
end
break
end
}"	2658	[Stairs of Ice]	1	down	0.82	down	68	down	60	
27	to side	7711	the Coastal Cliffs	7706	[Underground, Small Cavern]	-1	go tunnel	go tunnel	7707	[Caverns, Tunnel]	0	same floor	0.82	same floor	70	same floor	65	
26	to side	25294	Rone Academy	24407	[Rone Academy, Alumni Hall West]	0	go stairway	go stairway	24472	[Rone Academy, Walkway]	0	same floor	0.66	same floor	78	same floor	74	
22	to side	20810	Wehnimer's Landing	20788	[House Sovyn, Foyer]	0	go stairs	go stone staircase	20791	[House Sovyn, 1st Floor Hallway]	-1	up	0.88	same floor	60	up	60	
22	to side	7753	the Coastal Cliffs	7694	[Underground Ruin, Excavation]	-1	go hole	go hole	7734	[Mossy Caverns, Small Room]	0	down	0.87	same floor	78	same floor	68	
18	both sides (neither is anchored)	6247	The Hidden Plateau	6240	[Labyrinth, The Forge]	0	go stair	go stair	6245	[Labyrinth, The Dark Altar]	0	down	0.78	down	55	down	50	
18	both sides (neither is anchored)	6292	the Lower Dragonsclaw	6292	[Dirt Mines, Archaeological Dig]	-1	go hole	go hole	6293	[Dirt Mines, Archaeological Dig]	0	same floor	0.82	same floor	72	same floor	62	
18	to side	9092	the subterranean tunnels	9074	[Underground Tunnel]	-2	go boulder	go boulder	9075	[Infested Tunnels, Rat's Nest]	-1	same floor	0.88	same floor	72	same floor	75	
