edges	shape_id	sample	shape
1	67b1d2ec0189c652	24842->24876	;e fput S;fput S;$go2_restart = true
1	39e9569bd980b994	24895->24876	;e fput S;fput S;$go2_restart=true
1	6273ef33154518ed	24238->21557	;e fput S;fput S;fput S;echo S;line = get until Room.current.id != N
1	5ec47f45c00b5300	18249->25463	;e fput S;move (S);
1	48c6b889441df5ac	20012->19657	;e fput S;while line = get;if [..].include?(line);fput S;break;elsif line == S;empty_hand;fput S;fput S;fput S;fill_hand;break;end;end;
1	4752dc87e18e45b7	19657->20012	;e fput S;while line = get;if [..].include?(line);fput S;break;elsif line == S;empty_hands;fput S;fput S;fput S;fill_hands;fput S;fput S;break;end;end
1	86c2214196b28523	19992->19728	;e fput S;while line = get;if line == S;empty_hand;fput S;fput S;fput S;fill_hand;break;else;fput S;break;end;end
1	8830c72ad6011498	7318->7319	;e group_members = nil; clear.reverse.each { |line| if line =~ R; break; elsif line =~ R; group_members = $N.split(R); group_members.delete_if { |m| m =~ R }; group_members = nil if group_members.empty?; break; end }; empty_hands; move S; waitrt?; fill_hands; if (group_members.to_a.length > N); echo S; while (line = get) and (group_members.length > N); if line =~ R; put S + $N.to_s; elsif line =~ R; group_members.delete $N; elsif line == S; break; end; end; end
1	6c2d85917b2ae6e7	7331->7315	;e group_members = nil; clear.reverse.each { |line| if line =~ R; break; elsif line =~ R; group_members = $N.split(R); group_members.delete_if { |m| m =~ R }; group_members = nil if group_members.empty?; break; end }; fput S unless standing?; fput S; wait_until { stunned? }; wait_while { stunned? }; fput S; if (group_members.to_a.length > N); echo S; wait_until { (group_members.to_a - GameObj.pcs.to_a.delete_if { |pc| not pc.status.nil? }.collect { |pc| pc.name }).empty? or clear.find { |line| line == S } }; end
1	82c1bf69645fc27e	7324->4541	;e group_members = nil; clear.reverse.each { |line| if line =~ R; break; elsif line =~ R; group_members = $N.split(R); group_members.delete_if { |m| m =~ R }; group_members = nil if group_members.empty?; break; end }; fput S; sleep N; result = nil; success = R; failures = R; matches = R; until result =~ success; fput S until standing?; result = dothistimeout S, N, matches; waitrt?; end; until checkpaths(S); fput S; sleep N; end; fput S until standing?; if (group_members.to_a.length > N); echo S; wait_until { (group_members.to_a - GameObj.pcs.to_a.delete_if { |pc| not pc.status.nil? }.collect { |pc| pc.name }).empty? or clear.find { |line| line == S } }; end
1	efbd4240e05e3b45	4344->7298	;e group_members = nil; clear.reverse.each { |line| if line =~ R; break; elsif line =~ R; group_members = $N.split(R); group_members.delete_if { |m| m =~ R }; group_members = nil if group_members.empty?; break; end }; move S; if (group_members.to_a.length > N); echo S; wait_until { (group_members.to_a - checkpcs.to_a).empty? or clear.find { |line| line == S } }; end
6	5bf0696e089a2e20	3565->3566	;e group_members = nil; clear.reverse.each { |line| if line =~ R; break; elsif line =~ R; group_members = $N.split(R); group_members.delete_if { |m| m =~ R }; group_members = nil if group_members.empty?; break; end }; move S; if group_members; echo S; begin; if get =~ R; group_members.delete $N; end; end while group_members.length > N; end; waitrt?
1	3bbaf7870dc5c003	6135->6136	;e group_members = nil; clear.reverse.each { |line| if line =~ R; break; elsif line =~ R; group_members = $N.split(R); group_members.delete_if { |m| m =~ R }; group_members = nil if group_members.empty?; break; end }; result = nil; while !result; if celerity = Spell[..] and celerity.known? and celerity.affordable? and not celerity.active?; celerity.cast; end; fput S; result = matchtimeout(N,R); waitrt?; if !result then multimove S,S; end; end; fput S if group_members; move S; if group_members; echo S; while (group_members.length > N) and (line = get); if line =~ R; group_members.delete $N; elsif line == S; break; end; end; end
1	6f7ebf4864d3eb2a	36440->36419	;e if !GameObj.loot.any?{|i| i.name =~ R};fput S;sleep N until GameObj.loot.any?{|i| i.name =~ R};end;move(S)
1	b3a3bc6770dca75f	36419->36440	;e if !GameObj.loot.any?{|i| i.name =~ R};move(S);move(S);fput S;fput S;move(S);move(S);end;sleep N until GameObj.loot.any?{|i| i.name =~ R};move(S)
1	ab77e1877b958a9e	18700->18250	;e if !GameObj.loot.find{|o| o.name =~ R}.nil?; move (S); elsif GameObj.right_hand.id.nil?; echo S; else echo S; batter_result = nil; until batter_result =~ R; batter_result = dothistimeout S, N, R; break if batter_result =~ R; end; move (S) if batter_result =~ R; echo S if batter_result =~ R; end;
2	3a8561606fcb785a	3492->10329	;e if $platinum; move S; else; move S; end
6	b1cdbf1596e9a7bf	11630->11617	;e if ((bounty? =~ R)||(Society.task =~ R)); mynpc = GameObj.npcs.find { |npc| npc.noun =~ R }; else; mynpc = nil; end; N.times { break if GameObj.npcs.any? { |npc| npc.id == mynpc.id }; sleep N } if mynpc; move S; N.times { break if GameObj.npcs.any? { |npc| npc.id == mynpc.id }; sleep N } if mynpc; move S; N.times { break if GameObj.npcs.any? { |npc| npc.id == mynpc.id }; sleep N } if mynpc; move S; N.times { break if GameObj.npcs.any? { |npc| npc.id == mynpc.id }; sleep N } if mynpc; move S; N.times { break if GameObj.npcs.any? { |npc| npc.id == mynpc.id }; sleep N } if mynpc;
3	2689b144a93ba0a0	11630->11612	;e if ((bounty? =~ R)||(Society.task =~ R)); mynpc = GameObj.npcs.find { |npc| npc.noun =~ R }; else; mynpc = nil; end; N.times { break if GameObj.npcs.any? { |npc| npc.id == mynpc.id }; sleep N } if mynpc; move S; N.times { break if GameObj.npcs.any? { |npc| npc.id == mynpc.id }; sleep N } if mynpc; move S; N.times { break if GameObj.npcs.any? { |npc| npc.id == mynpc.id }; sleep N } if mynpc; move S; N.times { break if GameObj.npcs.any? { |npc| npc.id == mynpc.id }; sleep N } if mynpc; move S; N.times { break if GameObj.npcs.any? { |npc| npc.id == mynpc.id }; sleep N } if mynpc; move S; N.times { break if GameObj.npcs.any? { |npc| npc.id == mynpc.id }; sleep N } if mynpc;
2	ade23b8dadfe0885	7313->22426	;e if (bounty? =~ R); child = GameObj.npcs.find { |npc| npc.noun == S }; else; child = nil; end; move S; if Room.current == Room[..]; N.times { break if GameObj.npcs.any? { |npc| npc.id == child.id }; sleep N } if child; move S; end
4	0b3226f88672e0e3	3091->31352	;e if GameObj.inv.find {|obj| obj.noun == S};fput S;else;empty_hand;multifput S,S,S;fill_hand;end
2	63239dc812be3d79	31427->31428	;e if GameObj.inv.find {|obj| obj.noun =~ R};fput S;else;empty_hand;multifput S,S,S;fill_hand;end
1	8031ab15c2620516	19728->19992	;e if GameObj.loot.find{|item| item.noun == S};fput S;else;fput S;fput S until standing?;fput S;end
2	5da50495c180494e	1834->27470	;e if UserVars.Mularos_Lover; UserVars.Mularos_Lover.each{|c| fput S } end
2	826f9800fb9109b6	27638->27639	;e if UserVars.Peregrine; UserVars.Peregrine.each{|c| fput S } end
3	e6e97c4ba9ec6463	6630->6631	;e if celerity = Spell[..] and celerity.known? and celerity.affordable? and not celerity.active?; celerity.cast; end; until dothistimeout(S, N, R) =~ R do end; move S
1	87ab1c8c2ac90e79	2675->2677	;e if checkleft and checkright; empty_hands; need_fill_hands = true; else; need_fill_hands = false; end; result = dothistimeout S, N, R until result =~ R; waitrt?; fill_hands if need_fill_hands; move S
2	715956cb2832741b	18823->18822	;e if checksitting;while Room.current.id == N;fput(S);waitrt?;end;else;move(S);end;fill_hand;
