edges	shape_id	sample	shape
1	7451257e6ce113f2	13532->8696	;e $SILVERWOOD_TOWN == :imt ? N : nil
1	6c6a59f7ffd8ccc5	13532->14659	;e $SILVERWOOD_TOWN == :va ? N : nil
1	178025c588568d6f	13532->8695	;e $SILVERWOOD_TOWN == :wl ? N : nil
1	a6e34152348ab0c7	13532->32873	;e $SILVERWOOD_TOWN == :zul ? N : nil
477	ae0d7747b5fe7cc3	23282->1005	;e $mapdb_instability_timeto[..]
1	1b19944175ce738f	11442->11485	;e ((!defined?(Skills) or !defined?(Skills.climbing) or (defined?(Skills) and defined?(Skills.climbing) and Skills.climbing > N)) ? N : nil)
2	a04305181a901704	13728->13729	;e ((!defined?(Stats.gender) or Stats.gender == S) ? N : nil);
4	a27f6007790bf1c1	1457->33283	;e ((Char.citizenship == S or !UserVars.mapdb_allow_vornavis.nil?) ? N : nil);
1	99b4e6a9f2e51e63	7917->7918	;e ((defined?(Skills.climbing) and Skills.climbing > N) ? N : nil)
1	894be4de2c56316b	4109->18694	;e (Script.running?(S) or Script.running?(S)) ? nil : N
5	0427f4bcb3d85282	167->36170	;e (Script.running?(S) || Script.running?(S))? nil : N
2	3da30a7841fe07b0	34434->34435	;e (UserVars.Cuddfan_Hollow.to_s != S ? nil : N)
1	0a9436da711f4b86	15626->33715	;e (UserVars.Elaienaran_Haven.to_s != S ? nil : N)
1	610f096d89f7c336	33277->34440	;e (UserVars.Oleander_House.to_s != S ? nil : N)
1	d7d66d963ab169c0	420->291	;e Char.citizenship == S ? N : nil
1	72c63145bb771581	12582->28709	;e Char.citizenship == S ? N : nil;
2	b47afd7b47250469	3684->3685	;e Society.rank == N ? N : nil
1	78b3b344ba7f0882	3369->3561	;e Society.status == S ? N : nil
1	46e8769c1bd623e1	6486->6487	;e Spell[..].known? ? N : nil
4	0d0ee47c2043d52e	22359->22419	;e Stats.race == S ? N : nil
2	80fe3238c0f00b5e	1834->27470	;e UserVars.Mularos_Lover.nil? ? nil : N
1	ada3cfd8a94fcf71	31427->31428	;e UserVars.Shivergale.nil? ? nil : N;
1	cf1bd94aaf398b05	3030->16034	;e UserVars.mapdb_annoy_ylandra == S ? N : nil
2	7530d00ced02fd14	25148->221	;e UserVars.mapdb_car_from_sos ? N : nil
2	1b0caecdd9116543	29865->2487	;e UserVars.mapdb_hinterwilds_location == S and Map.current.location.to_s =~ R ? N : nil;
9	13a94544c653e014	21->17193	;e UserVars.mapdb_premium.nil? ? N : N;
1	558399a0d05a8bf1	3091->31352	;e UserVars.sunset_cabin.nil? ? nil : N;
2	d8b61e8ecd8b99c6	6955->22229	;e XMLData.level > N ? N : nil
83	5de776560fa749de	13966->13923	;e checksitting && Room.current.climate == S ? N : N
20	935265fc7147d463	13966->30506	;e checksitting && Room.current.climate == S ? nil : N
8	0ffd46e9ea7a0bf5	11438->11437	;e checkspell(N) ? N : N
1	87baa47ddc846aa9	7157->36342	;e if (UserVars.mapdb_black_swan == true) or (UserVars.mapdb_black_swan == S); N; else; nil; end
1	613e205e2dd21d27	314->3890	;e if (UserVars.mapdb_prestidigitorium == true) or (UserVars.mapdb_prestidigitorium == S); N; else; nil; end
2	8fcbfef2ace4ea68	24675->16744	;e if (checkroom.to_s =~ R) and (UserVars.mapdb_redforest_location == S); N; else; nil; end
1	88b39faaad307660	11006->10840	;e if Char.citizenship == S || invisible? ; N; else; nil; end
2	339864881654e1a1	992->1013	;e if Script.running? S;nil;else;N;end
1	f12391fa9fa7ea1a	4140->16392	;e if Skills.climbing >= [XMLData.encumbrance_value/N,N].max; N; else; nil; end
2	247157166562de58	5830->23525	;e if Skills.perception >= N; N; else nil; end
1	1fc22f1795002ef2	23525->23526	;e if Skills.swimming >= N; N; else nil; end
36	2b751a403a570da5	1983->12603	;e if Society.status == S and Society.rank == N and $go2_use_seeking; N; else; nil; end
16	734f8597b19d0bf9	7486->24572	;e if Spell[..].active?; (N * [((N - ([Spells.majorelemental,Stats.level].min/N) - (Skills.elair/N)) / N), N].max).floor + N; else; N; end
2	7b4325750c31d055	25183->25145	;e if UserVars.mapdb_car_to_sos == true;N;else;nil;end
1	d22017043caa63b1	4141->4140	;e if [..].any? { |num| Spell[num].known? }; N; elsif (Stats.prof == S) and (Stats.level >= N); N; else N; end
1	85b8f0406f9d0004	4140->4141	;e if [..].any? { |num| Spell[num].known? }; N; elsif Skills.climbing >= [XMLData.encumbrance_value/N,N].max; N; elsif (Stats.prof == S) and (Stats.level >= N); N; else N; end;
8	3fa78d37f8896af8	27860->27864	;e key=GameObj.inv.find{|k| k.name==S;};if !key.nil? then N else nil end;
