edges	shape_id	sample	shape
311	b40bbac28b539568	2579->12101	;e start_room = [..]; dirs = [..]; if index = start_room.index(Room.current.id); until checkloot.include?(S); move dirs[index]; index += N; index = N if index >= dirs.length; end; move S; waitrt?; fput S; else; echo S; end; $go2_restart = true
110	920ca11876609ffc	2579->2635	;e start_room = [..]; dirs = [..]; if index = start_room.index(Room.current.id); until checkloot.include?(S) or checkloot.include?(S); move dirs[index]; index += N; index = N if index >= dirs.length; end; if checkloot.include?(S); move S; elsif checkloot.include?(S); move S; end;; else; echo S; end; $go2_restart = true
55	1ee3caf44ce11ba2	2579->12208	;e start_room = [..]; dirs = [..]; if index = start_room.index(Room.current.id); until checkloot.include?(S); move dirs[index]; index += N; index = N if index >= dirs.length; end; move S; else; echo S; end; $go2_restart = true
55	78c38a4dab0c4a7d	12091->2635	;e start_room = [..]; dirs = [..]; if index = start_room.index(Room.current.id); until checkloot.include?(S) or checkloot.include?(S); move dirs[index]; index += N; index = N if index >= dirs.length; end; if checkloot.include?(S); move S; elsif checkloot.include?(S); move S; end; else; echo S; end; $go2_restart = true
50	b6412f56d20d3ce8	12662->12677	;e empty_hand if [..].include?(Room.current.id); swim_dir = { N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S }; while Room.current.id != N; if swim_dir[Room.current.id]; put S; else; echo S; put S; end; sleep N; waitrt?; end; fill_hand
39	c1e8d6491b737407	12095->12235	;e start_room = [..]; dirs = [..]; if index = start_room.index(Room.current.id); until checkloot.include?(S); move dirs[index]; index += N; index = N if index >= dirs.length; end; N.times { waitrt?; fput S unless standing?; waitrt?; result = dothistimeout S, N, R; waitrt?; fput S unless standing?; waitrt?; break if result =~ R }; move S; else; echo S; end; $go2_restart = true
36	3bcd79307da9ac88	1983->12603	;e $mapdb_seeking_destination = N;Map[..].wayto[..].call;
30	64dee29b8eeefda0	284->3668	;e Map[..].wayto[..].call;
25	4a1bb51efcd582ce	12663->12662	;e empty_hand if [..].include?(Room.current.id); swim_dir = { N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S, N => S }; child = (bounty? =~ R) && GameObj.npcs.find { |npc| npc.noun == S }; while (Room.current.id != N); if swim_dir[Room.current.id]; put S; else; echo S; put S; end; sleep N; waitrt?; N.times { break if GameObj.npcs.any? { |npc| npc.id == child.id }; sleep N } if child; end; fill_hand
8	74343212c6340fcc	15694->17964	;e Map[..].wayto[..].call; # rogue guild proc
