edges	shape_id	sample	shape
1	50bcb7b2876112ed	9651->6135	;e move S; waitrt?; wait_while { stunned? }; fput S unless standing?; waitrt?
4	ab4b882a85a6dfd3	13532->14659	;e move S;$go2_restart=true;$SILVERWOOD_TOWN=nil
1	98dabf4e28ec0db8	5922->10476	;e move S;while Room.current.id == N;line = get?;if line.nil?;sleep N;elsif line == S;move S;break;end;end;
2	3b2270e9c455f695	16122->11630	;e move [..][rand(N)] while checkpaths == [..]
2	637bea193e1d7c61	16122->11612	;e move [..][rand(N)] while checkpaths == [..]; move S if checkpaths.include?(S); move S if checkpaths.include?(S)
2	a5e1abfe4fcd2809	14614->9377	;e move checkpaths[rand(checkpaths.length)] until checkpaths.include?(S)
1	fc17be6061637b06	36166->36167	;e multifput(S, S); waitrt?; fput(S); waitrt?
5	c6dcfd7081edef93	9784->9734	;e next_exit = { N => [..], N => [..], N => [..], N => [..], N => [..] }; loop { if move S; sleep(N) until XMLData.room_title == S; fput S unless standing?; waitrt?; break; else; if dir_list = next_exit[Room.current.id]; dir_list.each { |dir| move dir }; else; echo S; break; end; end }
1	92692a841b8b5858	18893->13441	;e number = { S => S, S => S, S => S, S => S, S => S }; result = dothistimeout S, N, R; lever_hash = Hash.new; lever_hash[..] = number[result.slice(R).slice(R)]; lever_hash[..] = number[result.slice(R).slice(R)]; lever_hash[..] = number[result.slice(R).slice(R)]; lever_hash[..] = number[result.slice(R).slice(R)]; lever_hash[..] = number[result.slice(R).slice(R)]; for lever,position in lever_hash; loop { result = dothistimeout S + lever + S, N, R; break if result =~ R }; end; move S; move S; move S
1	be49f96e014ae72b	6016->18748	;e phase = Spell[..]; unless phase.affordable?; echo S; wait_until { phase.affordable? }; end; phase.cast(S)
1	10099b7713a861b6	20124->22619	;e put S; put S
2	fceb5c5270f870ca	20376->20377	;e put S;put S
1	f1ab58cadebf20fc	22349->22444	;e put S;while line=get;if line=~ R;put S;elsif line=~R;put S;break;end;end
1	350c88e914d5bed2	339->24768	;e query = S;shop = GameObj.loot.find { |i| i.name.eql?(query) };shop or fail S;fput S
2	ccfc9ed2241defd5	3239->3264	;e r = dothistimeout S, N, R; if r =~ R; move S; elsif r =~ R; spell = Spell[..]; bonus = spell.known? ? Society.rank/N : N; if ((N-(XMLData.encumbrance_value/N)) * Skills.to_bonus(Skills.climbing)) >= N; if spell.known? && !spell.active? && !Spell[..].active?; echo S unless stamina(spell.stamina_cost); wait_until{stamina(spell.stamina_cost)}; spell.cast; end; move S; elsif Spell[..].known?; unless Spell[..].affordable?; echo S; wait_until { Spell[..].affordable? }; end; Spell[..].cast(S); elsif (num = [..].find { |n| Spell[n].known? }); N.times { unless Spell[num].affordable?; echo S; wait_until { Spell[num].affordable? }; end; r = Spell[num].cast(S, R); redo if r =~ R }; move S; else; echo S; sleep N; exit; end; else; $go2_restart = true; end
2	cb32165d3d0959b9	34434->34435	;e refill_hand = false;key_worn = false; (refill_hand = true;empty_hand) if !checkleft.nil? and !checkright.nil?; key_worn = true if GameObj.inv.find {|obj| obj.name =~ R}; fput S if key_worn; fput S if !key_worn; door = S; multifput S,S,S,S,S; fput S if key_worn; fput S if !key_worn; fill_hand if refill_hand;
1	15a9cd40cc35bc5d	18178->18179	;e refill_hands = false; done = false; stairs_look = dothistimeout S,N,R if stairs_look =~ R done = true; end; runes = {S=>S, S=>S, S=>S, S=>S, S=>S}; result = stairs = under = rune = nil; look = true; refill_hands = false; while done == false; (refill_hands = true;empty_hands;) if GameObj.right_hand.id and GameObj.left_hand.id; if look == true; result = dothistimeout S, N, R; if result =~ R; rune = $N; under = $N; look = false; else; under = S; end; end; result = dothistimeout S#{under}S, N, R; if result =~ R; stairs = $N; rune = $N; under = $N; elsif result =~ R; under = S; look = false; elsif result =~ R; look = true; end; done = true if stairs =~ R; if under.nil? and done == false; echo S; pause_script; end; end; fill_hands if refill_hands; move(S);
2	6e406b5128ea0f38	25148->221	;e res = choice = nil;res = dothistimeout S, N, R;if res =~ R;choice = $N;end;dothistimeout S, N, R;put S;wait_until { XMLData.room_title =~ R };sleep N;wait_until{ XMLData.room_title !~ R };if GameObj.npcs.any? { |npc| npc.name =~ R };N.times do;_respond S;end;exit;end;$go2_restart=true
2	9fd6ce67d516bed3	25183->25145	;e res = choice = nil;res = dothistimeout S, N, R;if res =~ R;choice = $N;end;dothistimeout S, N, R;res = dothistimeout S, N, R;if res =~ R;N.times do;echo S;exit;end;end;wait_until { XMLData.room_title =~ R };sleep N;wait_until{ XMLData.room_title !~ R };if GameObj.npcs.any? { |npc| npc.name =~ R };N.times do;_respond S;end;exit;end;$go2_restart=true
1	8fc76a3bc0320103	6897->6928	;e result = Array.new put S while line = get if line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push(S) elsif line =~ R result.push (S) elsif line =~ R break end end result.each{ |deity| if Char.name == S put S else fput S end }
1	21ea19b7a563a93f	16165->16064	;e result = String.new; until result =~ R; fput S; result = matchwait(S,S); end; until result =~ R; fput S; result = matchwait(S,S,S); if result =~ R; fput S; result = matchwait(S,S,S);if result =~ R; N.times{fput S}; end; end; end; move S
1	7ef2633dc527add3	10781->18150	;e result = dothistimeout S, N, R;if result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };end;result = dothistimeout S, N, R;if result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };end;result = dothistimeout S, N, R;if result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };elsif result =~ R; loop{; wait_until{(XMLData.mana > (N * N))}; result = cast(N, S); if result =~ R; break; end; };end
4	7afd7afa8c58adc0	24696->24695	;e result = nil;until result =~ R;fput S until standing?;result = dothistimeout S, N, R;if result =~ R;sleep N;waitrt?;end;end
