creature_id	section	text
barbed_cavern_urchin	general	Sibling of the spiked cavern urchin (also level 17, different zone).
behemothic_gorefrost_golem	general	* Like many other creatures of this type, these golems' high amount of health and immunity to being killed by lethal crits is offset by low DS. This makes flurries of unaimed attacks such as assault techniques or mstrikes backed up by Two Weapon Combat, assault techniques or mstrikes using unarmed combat, or repeated attacks backed up by Celerity (506) relatively effective.\n* These golems take additional damage from fire, though the exact mechanics of how aren't known at the time of this writing.\n* Weapon techniques and combat maneuvers that knock golems prone and inflict Staggered, like Twin Hammerfists, Sweep, or Tackle, can often stall out golems since their combat rounds are fairly slow and they don't have high SMR defense.
behemothic_gorefrost_golem	wizard	* Golems are great targets for Mana Leech (516) as they have a lower TD.\n* Open with Hand of Tonis (505) and prioritize keeping the golems prone. Follow up by bolting.
bloody_halfling_cannibal	general	* Despite being the lowest level creature in the Hinterwilds, cannibals can't be underestimated or ignored, especially if the Boreal Forest has started filling up. Cannibals' namesake biting maneuver can be lethal if its standard maneuver roll gets a significant bonus from other creatures in the area stunning or otherwise disabling a character. Cannibals also take advantage of stealth, which means they can get stance pushdown from ambush mechanics in situations where you might never have seen them coming. As such, even in cases where relatively low-mana-cost AoE spells like Censure (316), Elemental Wave (410), or Grasp of the Grave (709) might seem unnecessary for the number of visible creatures, sometimes they can still be helpful in revealing the invisible threat of cannibals.
brawny_gigas_shield-maiden	general	* Shield-maidens are square creatures, so players of semis and pures can take advantage of their low TD by casting CS-based offensive spells.\n* Shield-maidens have a pretty high rate of blocking physical attacks with their shields when unhindered, so setup abilities like Sunder Shield, Aura of the Arkati (1614), anything that inflicts Blinded, anything that knocks prone, and so forth are recommended for primarily physical combatants. Alternatively, unarmed combat can't be blocked.
brawny_gigas_shield-maiden	bard	* Vibration Chant (1002) works twice and will often leave them helpless or dead.
brawny_gigas_shield-maiden	wizard	* Shield-maidens can be targeted with Mana Leech (516).
colossal_boreal_undansormr	general	* Undansormrs have great amounts of health, pretty high DS, exceptional TD, decent maneuver defense by virtue of their high level if nothing else, immunity to being knocked prone, and no limbs to get rid of to make them less effective. However, unarmed combat can kill undansormrs reasonably effectively with focused mstrikes, Fury, or stray tiered-up shots to the head (one of the only body parts this worm-like creature does have). Even a pure (with trained Brawling and Combat Maneuvers) can make unarmed combat work against them with minor setup of stunning the undansormr first to increase MM and more than overcome the UAF vs. UDF gap.
eyeless_black_valravn	general	* Broadly speaking, valravns are a "glass cannon" type of creature. Their "glass" is durable in the sense of high DS and TD, but when attacks get past those thresholds--or attacks that bypass them, like SMR-based attacks or unarmed combat--they're likely to hit these unarmored creatures hard and they have a fairly small amount of health.\n* Valravns are primarily magical creatures and are fairly vulnerable to maneuver-based spells and attacks like Earthen Fury (917), Hamstring, Spike Thorn (616), Twin Hammerfists, and more. This is offset somewhat by their high level, however.
eyeless_black_valravn	miscellany	* Symbol of Diminishment can make valravns far more manageable. However, their high level imposes a penalty against the standard success resolution system that Voln symbols use, so it might take multiple tries. High Influence can counteract level disadvantage somewhat.
eyeless_black_valravn	cleric	* Valravns have high TD, but Prayer of Holding (301) only needs a 101 endroll to set up for one or two strong casts of Condemn (309) afterward.
eyeless_black_valravn	paladin	* High Religion lore is doubly helpful against valravns, as Zealot (1617) can push paladins' AS over the top and Divine Incarnation (1650) Smite, given enough lore to reliably hit twice, frequently destroys valravns while divine energy lasts.\n* Either Aura of the Arkati (1614) or Repentance (1615) as the infused spell in a paladin's bonded weapon works well, since in either case they only need a 101 endroll to accomplish their main goals of, respectively, a debuff or forcing a valravn to kneel.
eyeless_black_valravn	ranger	* Moonbeam (611) is a near universal solution in the Hinterwilds and valravns are no exception.
greater_fetid_corpse	general	Observed wandering in level 41-42 hunting areas; spawn zone not yet confirmed (not in Saga mongen data).
grim_gigas_skald	general	* Options like Hamstring or unarmed combat essentially get around DS, which is useful since skalds have pretty high DS even when forced into offensive stance and their unconventional lyre weapon can't be removed by typical tactics like Disarm Weapon or Vibration Chant (1002).\n* SMR-based offense like Condemn (309), Earthen Fury (917), and Spike Thorn (616) works well against skalds.
grim_gigas_skald	cleric	* Since the strength of each damaging round of Condemn is based only on the initial roll, it can often be worthwhile to cast Condemn again before the first cast has finished if that first cast had a low enough endroll. This is especially true if the first cast isn't doing enough damage to keep them stunned, which is crucial since skalds' SMR attack can be lethal and their TD is sufficiently high that Soul Ward (319) isn't always reliable defense.
