kind	where	area	from_id	from_room	from_floor	from_floor_set_by	command	exit_says	direction_from	to_id	to_room	to_floor	to_floor_set_by
plain exit, but the two rooms came out on different floors	indoor/outdoor	Darkstone Castle	7002	[Castle Darkstone, Outer Ward]	0	outdoor ground	go guardtower	level	plain exit	7014	[Castle Darkstone, Guardtower]	-1	stack
plain exit, but the two rooms came out on different floors	indoor/outdoor	Darkstone Castle	7027	[Castle Darkstone, Outer Ward]	0	outdoor ground	go guardtower	level	plain exit	7028	[Castle Darkstone, Guardtower]	-1	stack
says up/down, but plain moves join the two rooms on one level	both indoors	Darkstone Castle	7083	[Darkstone, Dungeon]	-1	stack	go trapdoor	up	Jev or subagent	7120	[Darkstone, Dungeon]	-1	stack
says up/down, but plain moves join the two rooms on one level	both indoors	Darkstone Castle	7146	[Darkstone, Dungeon]	-1	stack	go hole	down	Jev or subagent	7085	[Darkstone, Dungeon]	-1	stack
plain exit, but the two rooms came out on different floors	indoor/outdoor	Dragonfly Den, inside the island town of Mist Harbor	35810	[Dragonfly Den, Rainfall]	3	stack	go portal	level	plain exit	35811	[Dragonfly Den, Cookery]	1	stack
says up/down, but plain moves join the two rooms on one level	both outdoors	Fethayl Bog	10147	[Fethayl Bog, Corroded Statue]	0	outdoor ground	climb vines	down	Jev or subagent	10149	[Fethayl Bog]	0	outdoor ground
plain exit, but the two rooms came out on different floors	indoor/outdoor	Hornwort Cavern	29056	[Hornwort Cavern, Approach]	0	outdoor ground	go entrance	level	plain exit	29058	[Hornwort Cavern, Entrance]	-1	stack
says up/down, but both rooms came out on the same floor	both indoors	Hornwort Cavern	29093	[Hornwort Cavern, Tunnel]	-1	stack	down	down	map's literal up/down	29095	[Hornwort Cavern, Tunnel]	-1	stack
says up/down, but both rooms came out on the same floor	both indoors	Icemule Trace	22100	[Bard Guild, Landing]	0	doorway	up	up	map's literal up/down	22105	[Bard Guild, Entry Hall]	0	doorway
says up/down, but the floors came out the other way round	both indoors	Icemule Trace	27717	[East Barbican, North Tower]	2	stack	up	up	map's literal up/down	27718	[East Barbican, North Tower]	1	stack
says up/down, but both rooms came out on the same floor	both outdoors	Icemule Trace	2359	[Icemule Trace, North Gate]	0	outdoor ground	go stairs	up	Jev or subagent	3726	[Icemule Defenses, North Wall]	0	outdoor ground
plain exit, but the two rooms came out on different floors	indoor/outdoor	Icemule Trace	2386	[Icemule Trace, West Road]	0	outdoor ground	go south tower	level	plain exit	27737	[West Barbican, South Tower]	-1	stack
